https,matdom,kwc,preshtml,ipurl,presjs,presform,subdom,dkim,spf,dmarc,mx,numlinks,imgurl,numdoms,res
-1,-1,0.02268431,1,0,-1,-1,-1,-1,-1,-1,1,0.02268431,0.007561437,0.15879017,-1
-1,-1,0.012009127,-1,0,-1,-1,-1,-1,-1,-1,-1,0.066050198,0.002001521,0.112085185,-1
-1,-1,0.007925343,-1,0,-1,-1,-1,-1,-1,-1,-1,0.087178776,0.001981336,0.253610985,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
1,-1,0.034114723,1,0,-1,-1,-1,-1,-1,-1,-1,0.082850041,0.004873532,0.233929529,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
1,-1,0.03315964,1,0,-1,-1,-1,-1,-1,-1,-1,0.085267646,0.004737091,0.255802937,-1
1,-1,0.028474962,1,0,-1,-1,-1,-1,-1,-1,-1,0.081357035,0.004067852,0.256274661,-1
-1,-1,0.033602151,-1,0,-1,-1,-1,-1,-1,-1,-1,0.060483871,0.00672043,0.208333333,-1
-1,-1,0.00614647,-1,0,-1,-1,-1,-1,-1,-1,-1,0.052244998,0.003073235,0.165954701,-1
-1,-1,0.027630416,-1,0,-1,-1,-1,-1,-1,-1,-1,0.027630416,0.005526083,0.093943413,-1
-1,-1,0.033165662,-1,0,-1,-1,-1,-1,-1,-1,-1,0.027638052,0.00552761,0.099496987,-1
-1,-1,0.015416635,1,0,-1,-1,-1,-1,-1,-1,-1,0.088645649,0.003854159,0.304478532,-1
-1,-1,0.010563008,1,0,-1,-1,-1,-1,-1,-1,-1,0.031689025,0.005281504,0.084504067,-1
-1,-1,0.014285714,-1,0,-1,-1,-1,-1,-1,-1,-1,0.061904762,0.004761905,0.238095238,-1
-1,-1,0.009818939,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086406661,0.001963788,0.251364832,-1
-1,-1,0.007858083,-1,0,-1,-1,-1,-1,1,-1,-1,0.086438913,0.001964521,0.251458657,-1
-1,-1,0.007858083,-1,0,-1,-1,-1,-1,1,-1,-1,0.086438913,0.001964521,0.251458657,-1
